net,length_um
net1530,191.01µm
net964,190.96µm
_00765_,190.6µm
_00602_,190.45µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[17\],190.45µm
net659,190.45µm
net1023,190.45µm
net2152,190.4µm
net1050,189.99µm
_00918_,189.89µm
_05724_,189.89µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[10\],189.89µm
net1471,189.89µm
net364,189.84µm
net827,189.84µm
net2004,189.84µm
_03919_,189.4µm
net1495,189.38µm
net379,189.28µm
net1565,189.28µm
net1490,188.87µm
net2118,188.87µm
_00566_,188.82µm
_01583_,188.77µm
net968,188.77µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[8\],188.41µm
clknet_leaf_49_clk,188.41µm
_00717_,188.36µm
_00840_,188.26µm
net1737,188.25µm
net1419,188.21µm
net439,188.16µm
net1939,188.16µm
net622,187.93µm
net1512,187.75µm
net2727,187.65µm
net71,187.6µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[16\],187.24µm
_00575_,187.19µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[10\],187.14µm
net74,187.09µm
net1073,187.09µm
net2064,186.58µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[10\],186.53µm
net1644,186.53µm
net2236,186.48µm
_00774_,186.07µm
net1196,186.07µm
net1733,186.07µm
net2115,186.02µm
net2598,185.56µm
_03990_,185.51µm
net1385,185.41µm
net2354,185.36µm
net2680,185.25µm
clknet_leaf_47_clk,185.15µm
clknet_4_6_0_clk,184.9µm
_05322_,184.8µm
net109,184.8µm
net2006,184.8µm
_03506_,184.39µm
_05507_,184.34µm
net1765,184.34µm
net810,184.29µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[7\],183.93µm
_03539_,183.86µm
net8,183.73µm
net1828,183.68µm
clknet_leaf_7_clk,183.42µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[14\],183.22µm
net1405,183.22µm
net1129,183.17µm
net1345,183.17µm
net2673,183.08µm
wrapper_inst.digital_domain_inst.raw_edge1_y\[2\],182.81µm
_05034_,182.71µm
net520,182.71µm
net397,182.66µm
net522,182.61µm
_00639_,182.35µm
_00760_,182.35µm
_00773_,182.15µm
net2027,182.1µm
clknet_leaf_20_clk,182.1µm
_05795_,182µm
_00593_,181.64µm
_05866_,181.54µm
net1352,181.44µm
net2669,181.2µm
mems_drv_y_OUT,181.2µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[8\],181.13µm
net22,181.03µm
_05370_,180.93µm
net2672,180.66µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[10\],180.47µm
net45,180.37µm
net1922,180.37µm
net2153,179.86µm
net147,179.81µm
net952,179.76µm
_00719_,179.5µm
net1254,179.5µm
_03568_,179.44µm
wrapper_inst.digital_domain_inst.raw_edge1_x\[14\],179.35µm
_03467_,179.3µm
net2235,179.25µm
net1351,179.2µm
