net,length_um
net76,175.89µm
net1846,175.89µm
net83,175.84µm
net95,175.84µm
clknet_leaf_50_clk_regs,175.53µm
net415,175.5µm
clknet_leaf_49_clk_regs,175.43µm
_02144_,175.38µm
digital_domain_inst.raw_edge1_x\[19\],175.38µm
net1654,175.38µm
net580,175.33µm
net1202,175.28µm
_00707_,174.92µm
net783,174.87µm
net1279,174.82µm
net925,174.72µm
digital_domain_inst.raw_edge3_y\[13\],174.31µm
_01470_,174.26µm
_04070_,174.21µm
net334,174.21µm
net1741,173.8µm
net1791,173.72µm
net645,173.6µm
_03216_,173.24µm
net1133,173.24µm
_00883_,173.19µm
_02356_,173.19µm
net485,173.09µm
net2212,173.09µm
_04117_,173.04µm
net84,172.58µm
net883,172.53µm
net1401,172.53µm
digital_domain_inst.raw_edge3_y\[17\],172.12µm
net27,172.07µm
net563,171.97µm
net1648,171.97µm
_01582_,171.92µm
net1309,171.92µm
net1313,171.71µm
_00618_,171.61µm
net1435,171.56µm
net955,171.51µm
digital_domain_inst.raw_edge1_x\[18\],171.46µm
_04448_,171.05µm
net228,170.9µm
_00644_,170.49µm
net97,170.34µm
net361,170.34µm
net834,170.29µm
net1979,170.24µm
digital_domain_inst.cfg_phase270_offset_y\[16\],169.88µm
net262,169.83µm
_02270_,169.78µm
digital_domain_inst.cfg_phase0_offset_y\[14\],169.73µm
digital_domain_inst.cfg_phase270_offset_y\[5\],169.73µm
_00687_,169.68µm
net775,169.68µm
net1375,169.68µm
net1498,169.42µm
digital_domain_inst.cfg_phase270_offset_x\[6\],169.32µm
net31,169.32µm
_01452_,169.27µm
digital_domain_inst.cfg_phase0_offset_x\[8\],169.27µm
net65,169.17µm
net577,169.12µm
net1748,168.66µm
_00721_,168.61µm
_04621_,168.61µm
net715,168.61µm
net1389,168.61µm
net776,168.56µm
net1070,168.56µm
net1872,168.56µm
clknet_leaf_15_clk_regs,168.2µm
digital_domain_inst.cfg_phase0_offset_y\[11\],168.15µm
_03517_,168.1µm
_03834_,168.1µm
net1180,168.1µm
net1969,168.1µm
_03514_,167.79µm
digital_domain_inst.raw_edge3_x\[3\],167.69µm
_00545_,167.64µm
_00800_,167.54µm
_04134_,167.49µm
net142,167.49µm
net1037,167.49µm
net1627,167.33µm
clknet_leaf_34_clk_regs,167.28µm
digital_domain_inst.boot_complete,167.08µm
net2166,166.98µm
net293,166.93µm
net1905,166.88µm
clknet_leaf_14_clk_regs,166.67µm
net1790,166.57µm
net1662,166.47µm
net1177,166.37µm
net1754,166.37µm
net1889,166.37µm
net1877,166.32µm
net1928,166.32µm
clknet_leaf_1_clk_regs,165.96µm
net1692,165.91µm
_03909_,165.86µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[6\],165.81µm
net257,165.81µm
net263,165.76µm
clknet_leaf_4_clk_regs,165.4µm
net13,165.35µm
_03436_,165.3µm
net267,165.3µm
net290,165.3µm
_03608_,165.2µm
digital_domain_inst.delay_wave_cycle_y\[6\],164.94µm
_04052_,164.79µm
digital_domain_inst.cfg_phase0_offset_y\[15\],164.74µm
net501,164.74µm
digital_domain_inst.raw_edge1_y\[8\],164.69µm
_01181_,164.64µm
net1304,164.64µm
net1614,164.64µm
_02309_,164.57µm
_00678_,164.33µm
_02589_,164.18µm
net598,164.18µm
net1481,164.13µm
_03516_,163.62µm
net1826,163.62µm
net128,163.57µm
net738,163.57µm
net1651,163.57µm
net1882,163.52µm
net882,163.39µm
_00742_,163.26µm
net524,163.11µm
_01467_,163.06µm
net1360,162.96µm
net1736,162.96µm
net2053,162.96µm
_00674_,162.6µm
net833,162.6µm
net42,162.5µm
net1644,162.5µm
_03977_,162.45µm
_04055_,162.45µm
_04221_,162.45µm
net1804,162.45µm
net1968,161.94µm
net683,161.89µm
net16,161.84µm
net1630,161.43µm
net1625,161.38µm
_02329_,161.33µm
_02598_,160.97µm
_00602_,160.87µm
_02633_,160.87µm
_01127_,160.82µm
net1760,160.82µm
net2238,160.82µm
net1635,160.72µm
clknet_leaf_51_clk_regs,160.36µm
net1065,160.31µm
digital_domain_inst.spi_regs_inst.state_o\[1\],160.21µm
_03890_,160.16µm
net993,160.16µm
net48,159.8µm
net1076,159.75µm
net960,159.65µm
net1175,159.65µm
_00801_,159.29µm
net876,159.19µm
net1553,159.19µm
net2190,159.19µm
_04106_,159.09µm
_05511_,159.09µm
net1067,159.04µm
net2114,159.04µm
clknet_leaf_0_clk_regs,158.78µm
net650,158.63µm
net570,158.53µm
net177,158.48µm
_00556_,158.07µm
net567,158.02µm
net731,158.02µm
digital_domain_inst.cfg_phase0_offset_x\[10\],157.97µm
net1391,157.91µm
net196,157.41µm
net572,157.41µm
net1134,157.41µm
net1187,157.41µm
net1207,157.41µm
net1382,157.41µm
net43,157.36µm
net1370,157.36µm
clknet_leaf_56_clk_regs,157µm
net376,156.9µm
net1402,156.85µm
net1831,156.44µm
net239,156.39µm
_00719_,156.34µm
