net,length_um
digital_domain_inst.raw_edge2_x\[12\],219.01µm
_04193_,218.96µm
_05751_,218.75µm
net147,218.5µm
net619,218.49µm
clknet_leaf_25_clk_regs,218.14µm
digital_domain_inst.latch_error_x,217.99µm
delaynet_0_clk,217.84µm
net1104,217.43µm
digital_domain_inst.spi_regs_inst.mosi_sync\[0\],217.38µm
digital_domain_inst.spi_regs_inst.spi_state,217.22µm
clknet_leaf_0_clk_regs,217.12µm
net695,216.87µm
net629,216.77µm
_05694_,216.46µm
_01577_,216.36µm
net634,216.26µm
_02794_,216.21µm
digital_domain_inst.cfg_phase90_offset_y\[2\],216.21µm
net450,216.21µm
clknet_leaf_34_clk_regs,216.21µm
digital_domain_inst.cfg_phase90_offset_y\[1\],215.75µm
digital_domain_inst.raw_edge1_x\[14\],215.7µm
net294,215.14µm
net1604,214.97µm
net396,214.58µm
net1799,214.53µm
net234,214.48µm
net355,214.42µm
_03908_,214.27µm
net1660,214.05µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[6\],214.02µm
net1055,214.02µm
net648,213.46µm
digital_domain_inst.cfg_phase270_offset_x\[9\],213.41µm
net1865,213.23µm
_01580_,213.05µm
net788,213µm
net200,212.9µm
net796,212.9µm
clknet_leaf_9_clk_regs,212.59µm
net620,212.39µm
digital_domain_inst.cfg_phase90_offset_y\[6\],212.29µm
net453,211.68µm
net1887,211.22µm
net926,210.91µm
_00573_,210.71µm
digital_domain_inst.raw_edge2_x\[19\],210.71µm
net1633,210.66µm
net1608,210.25µm
net1751,210.1µm
net709,209.86µm
_00545_,209.75µm
_01439_,209.54µm
net1650,209.29µm
clknet_leaf_3_clk_regs,209.18µm
net869,209.09µm
digital_domain_inst.raw_edge3_y\[9\],208.93µm
delaynet_2_clk,208.93µm
net404,208.8µm
_01573_,208.42µm
net1178,208.42µm
net1596,208.42µm
net302,208.37µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[2\],208.32µm
net420,207.86µm
net408,207.48µm
digital_domain_inst.delay_wave_cycle_x\[2\],207.3µm
net146,207.3µm
net853,207.25µm
digital_domain_inst.cfg_phase0_offset_x\[14\],207.12µm
net1423,206.94µm
net455,206.79µm
_03597_,206.13µm
net803,205.77µm
_02337_,205.67µm
digital_domain_inst.spi_regs_inst.state_o\[0\],205.67µm
_02387_,205.62µm
digital_domain_inst.cfg_phase0_offset_y\[17\],205.62µm
digital_domain_inst.cfg_phase90_offset_x\[1\],205.57µm
net703,205.39µm
net365,205.28µm
digital_domain_inst.raw_edge1_x\[8\],205.06µm
digital_domain_inst.spi_regs_inst.mosi_sync\[1\],205.01µm
net1136,205.01µm
net1321,204.96µm
_01533_,204.75µm
net887,204.62µm
_04190_,204.54µm
net624,204.5µm
net943,204.45µm
net1330,204.4µm
net1565,204.4µm
net2110,204.31µm
net1137,203.99µm
net488,203.48µm
_00693_,203.38µm
digital_domain_inst.cfg_phase90_offset_x\[12\],203.33µm
_05341_,203.28µm
_01525_,202.92µm
net1261,202.72µm
net1700,202.3µm
net2220,202.26µm
_01488_,202.2µm
net403,202µm
_01486_,201.6µm
_04117_,201.6µm
_04134_,201.6µm
_04147_,201.24µm
digital_domain_inst.delay_wave_cycle_y\[0\],201.19µm
_04209_,201.14µm
net1981,201.09µm
net22,201.04µm
clknet_leaf_21_clk_regs,200.93µm
clknet_leaf_33_clk_regs,200.78µm
digital_domain_inst.delay_wave_cycle_y\[7\],200.53µm
net16,200.07µm
digital_domain_inst.raw_edge3_y\[6\],199.97µm
net531,199.97µm
net220,199.9µm
_04060_,199.7µm
net1372,199.66µm
net149,199.51µm
net752,199.41µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[3\],199.05µm
clknet_leaf_39_clk_regs,199µm
net150,198.85µm
net1672,198.63µm
net1426,198.49µm
net297,198.34µm
net1018,198.34µm
net1090,198.24µm
net1591,198.17µm
net495,197.98µm
clknet_leaf_47_clk_regs,197.93µm
_01195_,197.68µm
net428,197.37µm
net21,197.27µm
net688,196.76µm
net1632,196.66µm
_00632_,196.61µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[2\],196.61µm
digital_domain_inst.cfg_phase90_offset_y\[0\],196.61µm
_04124_,196.15µm
net607,196.12µm
net1155,196.1µm
net383,195.59µm
net463,195.56µm
digital_domain_inst.cfg_phase90_offset_y\[9\],195.53µm
_05771_,195.44µm
_04111_,194.93µm
_04152_,194.93µm
digital_domain_inst.cfg_phase90_offset_y\[15\],194.93µm
digital_domain_inst.phase_state_x\[0\],194.88µm
net2214,194.88µm
digital_domain_inst.spi_regs_inst.reg_wr_addr\[3\],194.63µm
clknet_leaf_13_clk_regs,194.62µm
net702,194.5µm
net568,194.42µm
net651,194.1µm
net462,194.04µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[3\],193.81µm
_01468_,193.76µm
net290,193.3µm
net1,192.69µm
_05041_,192.64µm
net300,192.54µm
digital_domain_inst.cfg_phase270_offset_x\[18\],192.18µm
net1566,192.13µm
net865,192.11µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[16\],191.77µm
net445,191.67µm
net1422,191.67µm
net650,191.62µm
net1785,191.26µm
net63,191.18µm
net173,191.16µm
_01571_,191.01µm
net912,190.7µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[12\],190.65µm
net37,190.45µm
net215,190.23µm
net1774,190.1µm
net415,190µm
net605,189.51µm
_01482_,189.28µm
_04203_,189.28µm
net519,189.28µm
net1489,189.07µm
net538,188.65µm
net1866,188.57µm
net1093,188.21µm
net346,188.04µm
_01458_,187.79µm
net343,187.75µm
net809,187.65µm
net38,187.6µm
net162,187.19µm
_00788_,187.14µm
_01449_,187.14µm
_04119_,187.09µm
_01506_,187.08µm
_01461_,187.06µm
net1860,187.04µm
_02276_,186.81µm
net894,186.8µm
net1787,186.63µm
_01453_,186.3µm
digital_domain_inst.raw_edge3_x\[7\],186.07µm
digital_domain_inst.signal_processor_y_inst.votes_out_phase\[0\],186.07µm
net1041,186.02µm
_05772_,186µm
_00550_,185.97µm
_02365_,185.92µm
clknet_leaf_38_clk_regs,185.81µm
clknet_leaf_19_clk_regs,185.76µm
clknet_leaf_40_clk_regs,185.66µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[4\],185.51µm
net88,185.51µm
_00742_,185.46µm
net1698,185.41µm
_00659_,185µm
digital_domain_inst.cfg_phase270_offset_x\[14\],184.85µm
net66,184.78µm
net1045,184.49µm
_05032_,184.34µm
net401,184.34µm
net1669,184.3µm
_04129_,184.29µm
net1954,184.24µm
net1249,183.78µm
net1947,183.78µm
net329,183.73µm
_01459_,183.68µm
net14,183.27µm
net652,183.27µm
net784,183.27µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[12\],183.12µm
_04092_,182.76µm
net1740,182.71µm
digital_domain_inst.raw_edge1_x\[0\],182.66µm
_00548_,182.61µm
_00749_,182.61µm
digital_domain_inst.raw_edge1_y\[0\],182.59µm
net694,182.56µm
net925,182.56µm
net1737,182.56µm
clknet_leaf_28_clk_regs,182.4µm
clknet_leaf_20_clk_regs,182.2µm
digital_domain_inst.cfg_phase270_offset_y\[12\],182.15µm
digital_domain_inst.cfg_phase90_offset_y\[10\],182.1µm
net402,182.1µm
_01481_,182.05µm
digital_domain_inst.signal_processor_x_inst.comp_sync,182.05µm
net1789,182.05µm
net311,181.59µm
net1716,181.59µm
net1718,181.54µm
net580,180.98µm
net819,180.93µm
net1356,180.93µm
net2129,180.88µm
_03856_,180.6µm
_01660_,180.42µm
net610,180.33µm
net800,179.96µm
_01558_,179.89µm
_01560_,179.86µm
net933,179.86µm
_00689_,179.81µm
net89,179.81µm
net421,179.81µm
net997,179.81µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[14\],179.63µm
digital_domain_inst.spi_regs_inst.reg_wr_data\[6\],179.42µm
net1371,179.35µm
net1609,179.35µm
net438,179.3µm
net1706,179.2µm
net1601,178.69µm
net1710,178.69µm
net2127,178.64µm
net335,178.28µm
digital_domain_inst.cfg_phase0_offset_x\[1\],178.18µm
net2128,178.08µm
net1597,177.94µm
_01566_,177.77µm
net1964,177.67µm
net1613,177.64µm
net767,177.62µm
net671,177.57µm
net1204,177.57µm
_04093_,177.53µm
net814,177.42µm
digital_domain_inst.spi_regs_inst.state_o\[2\],177.21µm
net1043,177.16µm
net1037,177.01µm
net1091,177.01µm
net582,176.98µm
_05511_,176.96µm
net866,176.76µm
net377,176.66µm
_04065_,176.45µm
net848,176.12µm
clknet_leaf_26_clk_regs,176.09µm
net918,175.94µm
digital_domain_inst.raw_edge2_x\[10\],175.84µm
net203,175.84µm
net798,175.84µm
net612,175.44µm
net909,175.43µm
net638,175.38µm
net1246,175.38µm
net1360,175.38µm
net2027,175.38µm
net258,175.33µm
net1570,175.33µm
net1932,175.28µm
net868,174.92µm
_00781_,174.82µm
_00886_,174.82µm
net132,174.72µm
net447,174.26µm
net337,174.21µm
_04157_,174.16µm
net1035,173.7µm
net892,173.65µm
_02309_,173.35µm
digital_domain_inst.cfg_phase90_offset_x\[18\],173.24µm
clknet_leaf_18_clk_regs,173.24µm
clknet_leaf_48_clk_regs,173.24µm
net1913,173.14µm
_01335_,173.09µm
net1012,173.09µm
net823,172.69µm
digital_domain_inst.cfg_phase270_offset_x\[16\],172.58µm
net443,172.58µm
_05550_,172.53µm
_00680_,172.07µm
digital_domain_inst.cfg_phase0_offset_y\[18\],172.02µm
digital_domain_inst.spi_regs_inst.bit_cnt\[2\],171.61µm
clknet_leaf_7_clk_regs,171.61µm
net1036,171.46µm
net1203,171.36µm
net1654,171.21µm
net1765,171.16µm
net1670,171.04µm
digital_domain_inst.cfg_phase0_offset_y\[16\],171µm
net325,170.85µm
net516,170.85µm
digital_domain_inst.raw_edge2_x\[8\],170.8µm
net19,170.8µm
net1679,170.59µm
digital_domain_inst.raw_edge3_x\[12\],170.29µm
net1634,170.29µm
net1690,170.29µm
net2030,169.88µm
_00547_,169.8µm
net100,169.73µm
net2281,169.73µm
_01554_,169.59µm
clknet_leaf_11_clk_regs,169.52µm
net1695,169.32µm
net2246,169.22µm
_00644_,169.17µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[5\],169.17µm
net249,169.17µm
net1066,169.17µm
net1721,169.17µm
_00206_,169.12µm
net817,169.12µm
net2280,169.12µm
digital_domain_inst.raw_edge3_x\[18\],169.05µm
clknet_leaf_27_clk_regs,168.91µm
digital_domain_inst.cfg_phase90_offset_y\[13\],168.76µm
digital_domain_inst.raw_edge2_x\[0\],168.66µm
net1795,168.66µm
net1309,168.61µm
net1610,168.61µm
net1982,168.56µm
net654,168.2µm
net655,168.15µm
_04326_,168.1µm
net931,168.1µm
net713,168.05µm
net893,168.02µm
net1358,168µm
net169,167.64µm
net429,167.64µm
net469,167.59µm
net1880,167.44µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[2\],167.13µm
_00571_,166.99µm
digital_domain_inst.signal_processor_y_inst.votes_in_phase\[3\],166.93µm
net1244,166.93µm
_01490_,166.83µm
net1621,166.44µm
_00786_,166.42µm
net1702,166.42µm
net25,166.37µm
net1578,166.37µm
net1984,165.87µm
net904,165.86µm
net1753,165.86µm
net1299,165.76µm
net1936,165.76µm
_01508_,165.4µm
net98,165.21µm
net243,164.79µm
net366,164.74µm
net1362,164.74µm
net1600,164.41µm
_00779_,164.18µm
net546,164.18µm
net1364,164.18µm
_03606_,164.13µm
net148,164.13µm
net437,164.13µm
net1725,164.13µm
_03603_,164.08µm
net561,164.08µm
_03567_,163.67µm
_00677_,163.62µm
_02368_,163.52µm
net1701,163.16µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[2\],163.06µm
digital_domain_inst.raw_edge2_x\[1\],163.06µm
_04126_,163.01µm
_03605_,162.96µm
_00576_,162.7µm
net1245,162.6µm
net174,162.55µm
net1389,162.5µm
net1602,162.5µm
_02032_,162.45µm
net896,162.45µm
net929,162.45µm
net154,162.4µm
net711,162.4µm
clknet_leaf_50_clk_regs,162.09µm
net2032,161.89µm
net451,161.74µm
net413,161.33µm
net1325,161.33µm
net1656,161.33µm
net248,161.26µm
net826,161.14µm
