net,length_um
spi_regs_inst/net404,155.27µm
wave_controller_y_inst/wave_cycle_cnt\[1\],154.81µm
clknet_leaf_55_clk_regs,154.81µm
wave_controller_x_inst/net205,154.76µm
cal_phase90_offset_y\[0\],154.61µm
cfg_phase0_offset_x\[12\],154.15µm
spi_regs_inst/_0666_,154.1µm
wave_controller_y_inst/net746,154.1µm
spi_regs_inst/net388,153.59µm
spi_regs_inst/_0721_,153.49µm
spi_regs_inst/net295,153.44µm
wave_controller_y_inst/net801,153.03µm
wave_controller_y_inst/net802,152.98µm
wave_controller_y_inst/_0155_,152.88µm
spi_regs_inst/_0708_,152.47µm
spi_regs_inst/net20,152.47µm
spi_regs_inst/net376,152.01µm
spi_regs_inst/_0471_,151.96µm
wave_controller_y_inst/_1218_,151.96µm
soft_rst,151.81µm
spi_regs_inst/_0562_,151.81µm
wave_controller_x_inst/net246,151.81µm
spi_regs_inst/_0646_,151.76µm
wave_controller_x_inst/_0418_,151.76µm
clknet_leaf_10_clk_regs,151.55µm
wave_controller_y_inst/net482,151.35µm
spi_regs_inst/net1055,151.25µm
cal_phase270_offset_x\[6\],150.79µm
net726,150.74µm
spi_regs_inst/net1033,150.69µm
net1341,150.69µm
spi_regs_inst/_0671_,150.64µm
spi_regs_inst/_0723_,150.56µm
clknet_leaf_13_clk_regs,150.43µm
spi_regs_inst/net401,150.33µm
spi_regs_inst/_0575_,150.28µm
raw_edge2_y\[9\],150.23µm
clknet_leaf_42_clk_regs,150.23µm
spi_regs_inst/net549,150.18µm
wave_controller_x_inst/net117,150.13µm
cal_phase0_offset_y\[14\],150.08µm
wave_controller_y_inst/phase_acc\[0\],149.62µm
net859,149.57µm
clknet_leaf_56_clk_regs,149.36µm
clknet_leaf_16_clk_regs,149.31µm
cfg_phase270_offset_y\[8\],149.06µm
raw_edge3_y\[19\],149.01µm
cfg_phase0_offset_x\[1\],148.96µm
wave_controller_y_inst/_0703_,148.96µm
clknet_leaf_44_clk_regs,148.7µm
cfg_phase0_offset_y\[4\],148.6µm
cal_phase90_offset_y\[16\],148.5µm
wave_controller_y_inst/net631,148.5µm
wave_controller_x_inst/_1233_,148.45µm
wave_controller_x_inst/net128,147.89µm
cal_phase270_offset_y\[8\],147.87µm
raw_edge2_y\[4\],147.53µm
wave_controller_y_inst/phase_acc\[8\],147.53µm
wave_controller_y_inst/phase_acc\[3\],147.48µm
wave_controller_y_inst/net56,147.28µm
spi_regs_inst/net1049,146.95µm
clknet_leaf_37_clk_regs,146.92µm
spi_regs_inst/net384,146.87µm
raw_edge2_x\[12\],146.82µm
wave_controller_y_inst/net1160,146.82µm
spi_regs_inst/net385,146.77µm
clknet_leaf_15_clk_regs,146.77µm
