net,length_um
spi_regs_inst/net167,177.06µm
spi_regs_inst/net398,177.06µm
spi_regs_inst/net406,177.06µm
spi_regs_inst/net419,177.06µm
cal_phase270_offset_y\[3\],177.01µm
spi_regs_inst/_0563_,176.55µm
spi_regs_inst/net397,176.55µm
spi_regs_inst/net1043,176.4µm
raw_edge1_x\[1\],175.89µm
raw_edge1_x\[8\],175.89µm
cfg_phase90_offset_y\[4\],175.43µm
raw_edge2_y\[18\],175.43µm
cal_phase90_offset_x\[1\],175.33µm
wave_controller_y_inst/net662,174.87µm
net959,174.87µm
cfg_phase0_offset_x\[12\],174.82µm
spi_regs_inst/net407,174.82µm
net8,174.77µm
cal_phase0_offset_x\[1\],174.51µm
raw_edge1_y\[3\],174.46µm
wave_controller_y_inst/_1222_,174.36µm
spi_regs_inst/net1127,174.26µm
spi_regs_inst/net1153,174.21µm
clknet_leaf_37_clk,173.95µm
cfg_f_MEMS_fcw_y\[10\],173.65µm
net960,173.6µm
wave_controller_x_inst/net228,173.04µm
spi_regs_inst/_0226_,172.82µm
spi_regs_inst/net1019,172.68µm
cfg_phase90_offset_x\[9\],172.63µm
wave_controller_y_inst/_0683_,172.53µm
spi_regs_inst/net412,172.48µm
spi_regs_inst/_0220_,172.07µm
votes_in_phase_x\[0\],172.02µm
spi_regs_inst/net166,171.92µm
spi_regs_inst/net424,171.51µm
net850,171.46µm
spi_regs_inst/net399,171.41µm
wave_controller_x_inst/net952,171.36µm
clknet_leaf_11_clk,171.1µm
clknet_leaf_18_clk,170.95µm
spi_regs_inst/_0603_,170.85µm
spi_regs_inst/net472,170.8µm
wave_controller_y_inst/_1053_,170.59µm
wave_controller_x_inst/net697,170.39µm
spi_regs_inst/net246,170.24µm
spi_regs_inst/_0219_,169.88µm
net870,169.78µm
wave_controller_y_inst/net761,169.68µm
wave_controller_x_inst/net300,169.27µm
wave_controller_y_inst/wave_cycle_cnt\[3\],168.76µm
spi_regs_inst/net382,168.66µm
spi_regs_inst/net157,168.65µm
cfg_phase270_offset_x\[6\],168.61µm
net1,168.61µm
clknet_leaf_1_clk,168.35µm
spi_regs_inst/_0550_,168.15µm
spi_regs_inst/net416,168.15µm
spi_regs_inst/_0214_,167.64µm
spi_regs_inst/_0678_,167.59µm
net971,167.08µm
wave_controller_x_inst/net533,166.93µm
spi_regs_inst/net436,166.67µm
wave_controller_x_inst/net699,166.62µm
clknet_leaf_39_clk,166.62µm
spi_regs_inst/net310,166.47µm
raw_edge1_x\[0\],166.42µm
spi_regs_inst/net396,166.42µm
spi_regs_inst/net1010,166.42µm
spi_regs_inst/net313,166.29µm
cal_phase0_offset_y\[14\],165.96µm
cal_phase270_offset_x\[17\],165.86µm
wave_controller_y_inst/net648,165.81µm
spi_regs_inst/net1014,165.76µm
wave_controller_x_inst/wave_cycle_cnt\[5\],164.89µm
spi_regs_inst/_0471_,164.79µm
wave_controller_y_inst/net190,164.74µm
wave_controller_x_inst/net265,164.69µm
cal_phase90_offset_y\[6\],164.56µm
spi_regs_inst/_0511_,164.56µm
clknet_leaf_42_clk,164.38µm
cal_phase0_offset_y\[8\],164.28µm
spi_regs_inst/net314,164.23µm
spi_regs_inst/net1147,164.18µm
wave_controller_y_inst/net168,164.08µm
wave_controller_x_inst/net91,163.62µm
wave_controller_x_inst/net951,163.62µm
wave_controller_x_inst/net293,163.57µm
spi_regs_inst/net442,163.57µm
clknet_leaf_16_clk,163.21µm
cal_phase0_offset_y\[9\],163.16µm
spi_regs_inst/net1091,163.06µm
votes_in_phase_y\[0\],163.01µm
spi_regs_inst/net158,163.01µm
wave_controller_x_inst/net125,162.96µm
spi_regs_inst/net380,162.96µm
wave_controller_x_inst/net109,162.45µm
spi_regs_inst/net201,162.45µm
spi_regs_inst/net1027,162.04µm
wave_controller_x_inst/_1291_,161.89µm
wave_controller_x_inst/net520,161.89µm
wave_controller_y_inst/_1245_,161.84µm
spi_regs_inst/_0646_,161.48µm
spi_regs_inst/net1132,161.43µm
spi_regs_inst/_0503_,161.33µm
wave_controller_y_inst/net198,161.33µm
wave_controller_y_inst/_1253_,160.97µm
spi_regs_inst/net308,160.77µm
clknet_leaf_38_clk,160.31µm
spi_regs_inst/_0722_,160.21µm
wave_controller_y_inst/capture_step\[2\],160.21µm
net855,160.21µm
spi_regs_inst/_0415_,160.16µm
wave_controller_y_inst/wave_cycle_cnt\[1\],160µm
cfg_phase270_offset_x\[15\],159.7µm
spi_regs_inst/net1077,159.7µm
wave_controller_x_inst/net1230,159.65µm
cfg_phase0_offset_x\[8\],159.6µm
spi_regs_inst/_0690_,159.14µm
net1121,159.14µm
spi_regs_inst/net1067,159.04µm
wave_controller_x_inst/net724,158.91µm
spi_regs_inst/net156,158.42µm
spi_regs_inst/net390,158.02µm
spi_regs_inst/_0221_,157.56µm
spi_regs_inst/net432,157.51µm
cal_phase270_offset_x\[16\],157.46µm
spi_regs_inst/net403,157.46µm
clknet_leaf_50_clk,157.46µm
cal_phase270_offset_y\[6\],157.41µm
wave_controller_y_inst/net640,157µm
wave_controller_y_inst/net646,156.9µm
spi_regs_inst/net315,156.56µm
wave_controller_x_inst/net931,156.39µm
spi_regs_inst/net321,156.34µm
wave_controller_x_inst/net740,156.29µm
spi_regs_inst/net1083,156.24µm
wave_controller_x_inst/_1213_,155.93µm
spi_regs_inst/_0212_,155.88µm
spi_regs_inst/net1084,155.68µm
cal_phase270_offset_x\[7\],155.29µm
wave_controller_y_inst/net655,155.27µm
raw_edge1_x\[14\],154.76µm
cfg_phase270_offset_y\[12\],154.71µm
wave_controller_y_inst/net504,154.71µm
spi_regs_inst/net383,154.56µm
spi_regs_inst/net1021,154.56µm
wave_controller_y_inst/net1178,154.56µm
spi_regs_inst/spi_addr\[2\],154.25µm
