net,length_um
spi_regs_inst/_0723_,141.4µm
wave_controller_x_inst/_1241_,141.22µm
spi_regs_inst/net426,141.22µm
spi_regs_inst/net1097,141.22µm
spi_regs_inst/net435,141.17µm
spi_regs_inst/net1082,141.17µm
wave_controller_x_inst/net963,140.86µm
spi_regs_inst/net1022,140.81µm
wave_controller_y_inst/net758,140.66µm
wave_controller_y_inst/net1188,140.66µm
spi_regs_inst/net388,140.61µm
wave_controller_x_inst/net740,140.56µm
wave_controller_x_inst/net1213,140.56µm
raw_edge2_x\[17\],140.15µm
spi_regs_inst/reg_wr_addr\[1\],140.15µm
wave_controller_y_inst/net821,140.15µm
wave_controller_y_inst/net1114,140.15µm
net979,140.1µm
wave_controller_x_inst/net700,139.59µm
spi_regs_inst/_0209_,139.54µm
wave_controller_x_inst/_0784_,139.49µm
wave_controller_y_inst/_1233_,139.49µm
spi_regs_inst/net721,139.49µm
cal_phase90_offset_x\[11\],139.44µm
wave_controller_x_inst/net712,139.44µm
cfg_phase0_offset_y\[0\],139.08µm
spi_regs_inst/net1006,138.98µm
wave_controller_y_inst/net163,138.93µm
wave_controller_y_inst/_0947_,138.52µm
spi_regs_inst/net1062,138.52µm
wave_controller_x_inst/net699,138.47µm
spi_regs_inst/net384,138.42µm
spi_regs_inst/net1048,138.32µm
wave_controller_x_inst/_1208_,137.91µm
wave_controller_y_inst/_1241_,137.81µm
raw_edge2_x\[20\],137.76µm
wave_controller_y_inst/net55,137.76µm
wave_controller_x_inst/wave_cycle_cnt\[1\],137.55µm
clknet_leaf_56_clk_regs,137.5µm
wave_controller_x_inst/net697,137.45µm
