net,length_um
spi_regs_inst/_0642_,173.7µm
spi_regs_inst/_0678_,173.6µm
spi_regs_inst/_0677_,173.27µm
wave_controller_x_inst/_1053_,173.24µm
wave_controller_x_inst/_1251_,173.24µm
soft_rst,173.09µm
spi_regs_inst/net294,173.09µm
spi_regs_inst/_0511_,172.58µm
spi_regs_inst/net296,172.58µm
spi_regs_inst/net1068,172.58µm
votes_in_phase_y\[0\],172.53µm
spi_regs_inst/_0236_,172.53µm
spi_regs_inst/net420,172.48µm
spi_regs_inst/net994,172.48µm
clknet_leaf_38_clk_regs,172.3µm
raw_edge1_y\[2\],171.51µm
cal_phase270_offset_y\[6\],170.85µm
cal_phase90_offset_x\[16\],170.85µm
cal_phase90_offset_y\[0\],170.39µm
wave_controller_x_inst/net346,170.39µm
spi_regs_inst/net988,170.33µm
spi_regs_inst/net293,170.29µm
spi_regs_inst/net378,170.29µm
spi_regs_inst/_0603_,170.24µm
clknet_leaf_36_clk_regs,169.98µm
net951,169.88µm
wave_controller_x_inst/_0703_,169.78µm
wave_controller_x_inst/phase_acc\[7\],169.73µm
wave_controller_y_inst/net186,169.68µm
spi_regs_inst/net376,169.37µm
wave_controller_x_inst/_1233_,169.32µm
cal_phase270_offset_y\[3\],169.27µm
wave_controller_x_inst/phase_acc\[1\],169.27µm
latch_error_y,169.22µm
spi_regs_inst/net369,169.22µm
spi_regs_inst/_0576_,169.17µm
wave_controller_x_inst/net887,169.12µm
bidir_out[8],168.98µm
spi_regs_inst/_0229_,168.71µm
spi_regs_inst/reg_wr_addr\[3\],168.71µm
cal_phase90_offset_y\[7\],168.56µm
wave_controller_y_inst/wave_cycle_cnt\[1\],168.3µm
wave_controller_y_inst/_0703_,168.2µm
wave_controller_y_inst/_1218_,168.15µm
spi_regs_inst/net150,168.1µm
spi_regs_inst/net428,167.59µm
spi_regs_inst/net1123,167.44µm
cfg_phase0_offset_y\[15\],167.28µm
spi_regs_inst/net1065,167.03µm
wave_controller_y_inst/net260,166.98µm
wave_controller_y_inst/_0683_,166.57µm
wave_controller_y_inst/net222,166.42µm
wave_controller_y_inst/net486,166.32µm
clknet_leaf_16_clk_regs,166.16µm
wave_controller_x_inst/_1253_,166.01µm
spi_regs_inst/_0471_,165.96µm
cfg_phase90_offset_x\[9\],165.86µm
cfg_phase270_offset_y\[8\],165.81µm
raw_edge3_y\[10\],165.81µm
wave_controller_y_inst/_1222_,165.3µm
wave_controller_y_inst/_0713_,164.42µm
wave_controller_y_inst/_1203_,164.33µm
spi_regs_inst/net1007,164.13µm
spi_regs_inst/_0721_,163.72µm
spi_regs_inst/net412,163.72µm
cal_phase90_offset_y\[20\],163.67µm
spi_regs_inst/_0709_,163.67µm
spi_regs_inst/_0218_,163.21µm
spi_regs_inst/_0488_,163.11µm
cal_phase270_offset_y\[9\],162.5µm
cfg_phase0_offset_y\[16\],162.5µm
wave_controller_y_inst/_1245_,162.09µm
spi_regs_inst/_0215_,162.04µm
spi_regs_inst/net367,161.94µm
spi_regs_inst/net287,161.89µm
clknet_leaf_14_clk_regs,161.63µm
raw_edge2_y\[11\],161.48µm
raw_edge3_y\[14\],161.33µm
wave_controller_y_inst/_1364_,161.33µm
net1458,161.33µm
spi_regs_inst/reg_wr_addr\[1\],161.02µm
spi_regs_inst/_0575_,160.92µm
wave_controller_x_inst/net274,160.82µm
wave_controller_y_inst/net820,160.77µm
spi_regs_inst/net426,160.36µm
wave_controller_x_inst/net676,160.31µm
cfg_f_MEMS_fcw_y\[10\],160.26µm
spi_regs_inst/net989,160.26µm
spi_regs_inst/net1066,160.26µm
spi_regs_inst/_0361_,159.92µm
cal_phase0_offset_y\[9\],159.8µm
wave_controller_y_inst/net68,159.65µm
wave_controller_x_inst/net684,159.65µm
spi_regs_inst/_0476_,159.04µm
spi_regs_inst/net1048,158.63µm
wave_controller_x_inst/capture_step\[2\],158.58µm
spi_regs_inst/net450,158.58µm
clknet_leaf_34_clk_regs,158.12µm
net1496,157.92µm
wave_controller_x_inst/_1208_,157.66µm
cal_phase270_offset_x\[6\],157.56µm
raw_edge2_y\[9\],157.56µm
wave_controller_y_inst/wave_cycle_cnt\[3\],157.56µm
spi_regs_inst/net437,157.51µm
wave_controller_x_inst/_0893_,157.41µm
wave_controller_y_inst/net622,157.18µm
clknet_leaf_39_clk_regs,157.05µm
clknet_leaf_41_clk_regs,157µm
spi_regs_inst/net402,156.95µm
wave_controller_x_inst/_1009_,156.9µm
spi_regs_inst/_0562_,156.85µm
cal_phase90_offset_x\[10\],156.29µm
cfg_phase90_offset_x\[14\],156.29µm
wave_controller_x_inst/_0683_,156.24µm
spi_regs_inst/_0687_,155.78µm
spi_regs_inst/net373,155.78µm
net1429,155.73µm
cal_phase90_offset_x\[2\],155.68µm
wave_controller_x_inst/_1246_,155.27µm
net830,155.27µm
cfg_phase90_offset_y\[8\],155.12µm
spi_regs_inst/net1024,155.12µm
net841,154.71µm
wave_controller_x_inst/net518,154.61µm
clknet_leaf_17_clk_regs,154.35µm
cal_phase270_offset_x\[7\],154.2µm
cfg_phase0_offset_y\[13\],154.2µm
clknet_leaf_32_clk_regs,154.2µm
spi_regs_inst/_0723_,153.97µm
spi_regs_inst/net423,153.54µm
wave_controller_x_inst/net212,153.49µm
wave_controller_x_inst/net107,153.44µm
wave_controller_y_inst/net827,153.18µm
wave_controller_x_inst/net918,153.08µm
spi_regs_inst/net381,152.98µm
spi_regs_inst/_0654_,152.93µm
clknet_leaf_55_clk_regs,152.57µm
cal_phase0_offset_y\[14\],152.55µm
raw_edge1_x\[15\],152.47µm
spi_regs_inst/_0355_,152.42µm
wave_controller_y_inst/_0647_,152.37µm
spi_regs_inst/net1456,152.32µm
wave_controller_x_inst/net519,151.96µm
spi_regs_inst/_0708_,151.86µm
spi_regs_inst/_0209_,151.35µm
wave_controller_y_inst/phase_acc\[0\],151.35µm
cfg_phase270_offset_x\[13\],151.25µm
spi_regs_inst/_0659_,151.25µm
wave_controller_x_inst/net240,151.25µm
wave_controller_y_inst/net55,151.2µm
net1152,150.89µm
wave_controller_x_inst/_1248_,150.84µm
spi_regs_inst/net1077,150.84µm
wave_controller_x_inst/net201,150.79µm
spi_regs_inst/net382,150.79µm
spi_regs_inst/reg_wr_addr\[0\],150.48µm
wave_controller_y_inst/_1248_,150.18µm
wave_controller_y_inst/_0156_,150.13µm
wave_controller_y_inst/_0155_,150.08µm
cal_phase270_offset_x\[5\],149.83µm
cal_phase90_offset_x\[9\],149.72µm
cfg_phase0_offset_y\[4\],149.57µm
spi_regs_inst/net425,149.57µm
wave_controller_y_inst/_0893_,149.52µm
spi_regs_inst/net1082,149.26µm
spi_regs_inst/net385,149.11µm
spi_regs_inst/net1001,149.01µm
net1494,149.01µm
cal_phase0_offset_x\[5\],148.98µm
cfg_phase0_offset_x\[12\],148.5µm
spi_regs_inst/_0415_,148.45µm
wave_controller_x_inst/_0712_,148.45µm
cal_phase90_offset_x\[11\],148.4µm
wave_controller_x_inst/_0784_,148.4µm
spi_regs_inst/net1051,148.3µm
raw_edge2_x\[1\],148.14µm
clknet_leaf_48_clk_regs,148.09µm
spi_regs_inst/net295,147.89µm
net738,147.89µm
spi_regs_inst/net408,147.43µm
spi_regs_inst/_0464_,147.33µm
wave_controller_x_inst/wave_cycle_cnt\[1\],147.07µm
wave_controller_x_inst/_1029_,146.82µm
wave_controller_x_inst/net675,146.82µm
spi_regs_inst/_0607_,146.77µm
wave_controller_x_inst/net667,146.72µm
clknet_leaf_20_clk_regs,146.64µm
clknet_leaf_43_clk_regs,146.46µm
cal_phase90_offset_y\[16\],146.36µm
clknet_leaf_12_clk_regs,146.36µm
clknet_leaf_18_clk_regs,146.36µm
wave_controller_x_inst/_0645_,146.26µm
wave_controller_x_inst/net124,146.26µm
