net,length_um
_0254_,75.04µm
raw_edge1_x[2],74.9µm
net575,74.63µm
_0476_,74.53µm
_0669_,74.53µm
net743,74.48µm
net729,74.17µm
net621,73.97µm
net639,73.97µm
net740,73.97µm
net642,73.56µm
net685,73.51µm
cfg_phase90_offset_y[13],73.32µm
delay_wave_cycle_y[3],73.22µm
net62,72.9µm
net142,72.8µm
net211,72.8µm
delay_wave_cycle_x[4],72.66µm
cfg_phase0_offset_x[7],72.66µm
_0486_,72.34µm
net746,72.34µm
_0661_,72.29µm
net96,72.24µm
net195,72.24µm
net233,72.24µm
net305,72.24µm
_0300_,71.78µm
_0570_,71.78µm
net755,71.78µm
net765,71.78µm
raw_edge2_y[0],71.59µm
net644,71.17µm
net274,70.66µm
net689,70.66µm
net769,70.61µm
net293,70.56µm
delay_wave_cycle_x[6],70.42µm
raw_edge1_y[16],70.42µm
cfg_phase0_offset_x[18],70.42µm
_0618_,70.15µm
_0258_,70.05µm
net271,70.05µm
_0209_,70µm
cfg_phase90_offset_y[3],69.91µm
net525,69.64µm
net655,69.54µm
net869,69.54µm
net849,69.49µm
net776,69.44µm
raw_edge1_y[15],69.3µm
net85,68.93µm
net450,68.93µm
net104,68.88µm
net687,68.88µm
raw_edge2_y[2],68.74µm
raw_edge2_y[7],68.74µm
net456,68.42µm
net884,68.37µm
_0726_,67.81µm
net191,67.76µm
net677,67.76µm
raw_edge1_y[17],67.62µm
cfg_phase0_offset_y[14],67.62µm
net411,67.35µm
net476,67.3µm
net573,67.2µm
rx_shift\[1\],66.74µm
net714,66.64µm
cfg_phase0_offset_y[18],66.55µm
raw_edge1_x[1],66.5µm
net487,66.28µm
net757,66.23µm
net678,66.08µm
cfg_phase90_offset_y[18],65.99µm
raw_edge1_y[0],65.94µm
cfg_phase270_offset_y[7],65.94µm
net817,65.67µm
net435,65.62µm
spi_addr\[3\],65.62µm
net598,65.52µm
net753,65.52µm
cfg_phase90_offset_y[17],65.43µm
cfg_phase0_offset_y[9],65.38µm
net805,65.01µm
net838,64.96µm
raw_edge2_y[3],64.87µm
cfg_phase90_offset_y[20],64.82µm
cfg_phase90_offset_y[6],64.82µm
cfg_phase90_offset_y[8],64.82µm
spi_addr\[5\],64.6µm
net691,64.45µm
net723,64.45µm
cfg_phase270_offset_y[1],64.31µm
raw_edge1_y[20],64.26µm
cfg_phase0_offset_y[3],64.26µm
net446,63.89µm
net184,63.84µm
raw_edge1_y[11],63.75µm
cfg_phase0_offset_y[20],63.75µm
_0589_,63.38µm
net862,63.38µm
net79,63.33µm
net654,63.33µm
_0237_,63.28µm
net166,63.28µm
cfg_phase90_offset_y[16],63.19µm
raw_edge1_y[2],63.14µm
_0622_,62.87µm
_0296_,62.77µm
net61,62.72µm
net848,62.72µm
cfg_phase0_offset_y[16],62.58µm
cfg_phase90_offset_y[11],62.58µm
_0528_,62.36µm
net413,62.26µm
cs_n_sync,62.21µm
net41,62.16µm
raw_edge2_y[5],62.07µm
cfg_phase0_offset_y[13],62.07µm
delay_wave_cycle_x[1],62.02µm
_0607_,61.8µm
cfg_phase0_offset_y[11],61.46µm
net511,61.24µm
net682,61.14µm
_0515_,61.09µm
_0423_,61.04µm
_0711_,61.04µm
net574,61.04µm
cfg_phase90_offset_y[2],60.95µm
raw_edge2_y[4],60.9µm
cfg_phase0_offset_x[3],60.9µm
cfg_phase0_offset_y[8],60.9µm
rx_shift\[4\],60.63µm
net732,60.63µm
