net,length_um
cfg_phase270_offset_x\[8\],205.62µm
net437,205.62µm
clknet_leaf_28_clk,204.7µm
_00638_,204.09µm
raw_edge1_x\[14\],204.09µm
net304,203.89µm
net59,202.92µm
_02932_,202.26µm
_03707_,202.26µm
cfg_f_MEMS_fcw_y\[2\],202.26µm
net434,201.8µm
signal_processor_y_inst.votes_in_phase\[0\],201.65µm
net573,201.65µm
_04653_,201.48µm
raw_edge2_y\[4\],201.39µm
net401,201.29µm
net579,201.24µm
cfg_phase270_offset_x\[15\],200.68µm
cfg_phase270_offset_x\[18\],200.68µm
net568,200.68µm
cfg_phase270_offset_y\[19\],200.63µm
raw_edge2_x\[17\],200.53µm
spi_regs_inst.reg_wr_data\[6\],200.53µm
clknet_leaf_36_clk,200.17µm
_03075_,200.02µm
raw_edge1_y\[10\],199µm
net626,198.49µm
cfg_phase270_offset_x\[17\],197.83µm
clknet_leaf_10_clk,197.42µm
raw_edge3_y\[13\],196.76µm
_00644_,196.71µm
net629,196.71µm
_03132_,196.56µm
cfg_f_MEMS_fcw_y\[12\],196.56µm
clknet_leaf_2_clk,196.3µm
raw_edge1_x\[19\],196.25µm
net634,196.2µm
net324,195.79µm
net600,195.79µm
net509,195.54µm
net39,195.49µm
raw_edge3_y\[4\],195.08µm
net542,195.08µm
net179,194.98µm
clknet_leaf_18_clk,194.72µm
_02130_,194.42µm
_04242_,194.42µm
net633,194.06µm
raw_edge3_x\[7\],193.86µm
_00612_,193.81µm
_01722_,193.81µm
clknet_leaf_57_clk,193.55µm
cfg_phase270_offset_x\[3\],192.89µm
_00637_,192.43µm
net623,191.21µm
raw_edge1_x\[0\],191.16µm
net637,191.16µm
clknet_leaf_42_clk,190.75µm
net575,190.6µm
net601,190.09µm
cfg_phase270_offset_x\[20\],189.99µm
net366,189.94µm
clknet_leaf_9_clk,189.48µm
cfg_f_MEMS_fcw_y\[4\],189.38µm
_00824_,189.28µm
signal_processor_x_inst.votes_in_phase\[0\],188.82µm
_01778_,188.72µm
net376,188.51µm
net196,188.46µm
clknet_leaf_45_clk,188.26µm
wave_controller_x_inst.phase_acc\[11\],188.18µm
raw_edge2_x\[16\],187.7µm
_02925_,187.65µm
net301,187.6µm
net70,187.5µm
net414,187.29µm
clknet_leaf_8_clk,187.29µm
clknet_leaf_23_clk,187.24µm
_04629_,187.19µm
net289,187.14µm
cfg_phase90_offset_y\[10\],186.58µm
net563,186.58µm
cfg_f_MEMS_fcw_y\[9\],186.02µm
clknet_leaf_47_clk,185.71µm
wave_controller_x_inst.phase_acc\[8\],185.61µm
net527,185.51µm
_03235_,185.41µm
_02016_,185.36µm
_01178_,185.15µm
_01785_,185.15µm
net581,185.15µm
net472,184.85µm
_02196_,184.46µm
_01765_,184.34µm
_04582_,184.29µm
_00614_,183.83µm
net182,183.27µm
net292,183.17µm
_00639_,182.91µm
net510,182.71µm
net605,182.66µm
net406,182.15µm
net42,182.05µm
raw_edge3_y\[11\],181.69µm
net211,181.54µm
_00570_,181.18µm
clknet_leaf_14_clk,181.18µm
clknet_leaf_48_clk,181.18µm
net556,181.08µm
_02145_,181.03µm
net170,180.42µm
net543,180.42µm
net266,179.96µm
raw_edge1_y\[6\],179.81µm
raw_edge2_y\[12\],179.81µm
net487,179.45µm
clknet_leaf_49_clk,179.25µm
_01786_,178.94µm
net609,178.89µm
clknet_leaf_53_clk,178.89µm
clknet_leaf_21_clk,178.79µm
net622,178.43µm
_00597_,178.18µm
clknet_leaf_27_clk,178.18µm
cfg_f_MEMS_fcw_y\[6\],178.13µm
phase_state_x\[0\],178.13µm
_01761_,177.82µm
_01342_,177.62µm
raw_edge2_y\[13\],177.62µm
net493,176.8µm
net344,176.65µm
_03160_,176.55µm
net223,176.45µm
spi_regs_inst.cs_n_sync,176.4µm
net403,175.78µm
_03088_,175.48µm
net585,175.43µm
net209,175.38µm
net379,175.38µm
clknet_leaf_26_clk,175.07µm
net517,174.87µm
clknet_leaf_54_clk,174.82µm
net288,174.26µm
net169,173.8µm
net271,173.6µm
wave_controller_x_inst.phase_acc\[16\],173.39µm
net227,173.29µm
net432,173.19µm
net462,173.14µm
_01339_,172.78µm
_02782_,172.58µm
_00626_,172.53µm
net343,172.32µm
net347,172.17µm
raw_edge3_x\[18\],172.07µm
clknet_leaf_56_clk,171.71µm
clknet_leaf_22_clk,171.2µm
clknet_leaf_11_clk,171.1µm
_02868_,171µm
net160,170.85µm
_00645_,170.34µm
net576,170.03µm
net583,169.83µm
_04408_,169.78µm
_01834_,169.37µm
cfg_phase270_offset_x\[5\],169.27µm
net378,168.91µm
clknet_leaf_30_clk,168.86µm
net181,168.76µm
_03338_,168.66µm
wave_controller_x_inst.capture_pending,168.4µm
clknet_leaf_25_clk,168.35µm
net597,168.25µm
analog[1],167.91µm
_04557_,167.59µm
cfg_f_MEMS_fcw_x\[1\],167.49µm
clknet_leaf_46_clk,167.13µm
net547,166.98µm
net361,166.52µm
_03147_,165.86µm
_03149_,165.57µm
net604,165.45µm
_00714_,165.4µm
net252,165.35µm
cfg_f_MEMS_fcw_y\[15\],165.25µm
wave_controller_x_inst.phase_acc\[5\],164.84µm
net242,164.84µm
_02873_,164.79µm
net188,164.69µm
net554,164.33µm
net81,163.72µm
_04162_,163.57µm
wave_controller_x_inst.phase_acc\[13\],163.16µm
clknet_leaf_19_clk,163.16µm
_03110_,163.11µm
net607,163.06µm
net566,162.6µm
wave_controller_x_inst.phase_acc\[17\],162.55µm
net231,162.55µm
state_machine_inst.state_q\[0\],162.4µm
net237,161.99µm
net259,161.94µm
clknet_leaf_12_clk,161.58µm
net198,161.57µm
net616,161.48µm
clknet_leaf_5_clk,161.02µm
clknet_leaf_20_clk,160.92µm
net45,160.82µm
cfg_f_MEMS_fcw_x\[11\],160.31µm
_01546_,160.26µm
cfg_f_MEMS_fcw_x\[12\],160.26µm
cfg_phase90_offset_y\[11\],160.16µm
net385,160.05µm
cfg_f_MEMS_fcw_y\[0\],159.8µm
net178,159.6µm
net557,159.34µm
cfg_phase270_offset_x\[6\],159.19µm
net276,159.14µm
_01192_,159.09µm
net346,158.73µm
net307,158.63µm
_02741_,158.58µm
cfg_phase270_offset_x\[1\],158.58µm
net245,158.58µm
clknet_leaf_39_clk,158.17µm
_00004_,157.97µm
_00607_,157.97µm
_04623_,157.92µm
clknet_leaf_17_clk,157.61µm
raw_edge3_x\[20\],157.46µm
net197,157.46µm
_03943_,157.1µm
raw_edge2_x\[18\],157µm
raw_edge1_y\[18\],156.9µm
net580,156.9µm
net281,156.85µm
_00584_,156.49µm
net109,156.44µm
net274,156.39µm
cfg_phase90_offset_x\[0\],156.29µm
net602,155.93µm
net264,155.88µm
net482,155.73µm
clknet_leaf_31_clk,155.32µm
cfg_phase270_offset_y\[15\],155.27µm
cfg_phase90_offset_x\[5\],154.66µm
net275,154.56µm
net258,154.15µm
net340,154.15µm
net190,154.1µm
clknet_leaf_41_clk,153.59µm
_04087_,152.93µm
net612,152.93µm
_03254_,152.88µm
clknet_leaf_32_clk,152.62µm
_00823_,152.42µm
net577,152.42µm
_01719_,152.04µm
_04248_,151.96µm
raw_edge2_y\[6\],151.96µm
net176,151.91µm
_01190_,151.81µm
latch_error_x,151.81µm
net284,151.3µm
phase_state_x\[1\],151.2µm
_00596_,150.89µm
_02860_,150.74µm
_03116_,150.74µm
_01897_,150.64µm
net488,150.23µm
_02871_,150.18µm
_03165_,150.08µm
_01838_,149.77µm
spi_regs_inst.reg_wr_addr\[0\],149.67µm
_01361_,149.52µm
_02129_,149.16µm
wave_controller_y_inst.phase_acc\[3\],149.16µm
raw_edge1_y\[13\],149.11µm
clknet_leaf_3_clk,148.65µm
clknet_leaf_16_clk,148.65µm
cfg_phase90_offset_x\[13\],148.6µm
net80,148.6µm
wave_controller_x_inst.phase_acc\[10\],148.55µm
_03175_,148.5µm
net183,148.45µm
_03142_,148.4µm
net513,147.43µm
net388,147.38µm
cfg_phase90_offset_y\[17\],147.33µm
_01875_,147.28µm
net387,147.07µm
net405,146.92µm
net348,146.31µm
net359,146.26µm
_01702_,146.21µm
_03148_,146.16µm
net290,145.8µm
signal_processor_x_inst.comp_sync,145.75µm
_03114_,145.65µm
_02957_,145.62µm
_00573_,145.24µm
_01751_,145.24µm
clknet_leaf_51_clk,145.24µm
net559,145.19µm
_01196_,145.14µm
_03074_,145.04µm
_03871_,144.68µm
_03193_,144.58µm
net60,144.53µm
net608,144.07µm
net240,144.02µm
net352,143.61µm
net317,143.46µm
net222,143.36µm
clknet_leaf_6_clk,143.2µm
_02705_,142.95µm
_02723_,142.95µm
signal_processor_x_inst.votes_in_phase\[1\],142.9µm
_03194_,142.77µm
clknet_leaf_29_clk,142.54µm
net598,142.44µm
raw_edge3_x\[19\],142.39µm
net199,142.39µm
net587,142.39µm
net273,142.34µm
net555,141.93µm
net589,141.93µm
net396,141.83µm
cfg_phase90_offset_y\[20\],141.78µm
clknet_leaf_13_clk,141.47µm
net195,141.27µm
_04471_,141.22µm
_03047_,140.93µm
net248,140.81µm
wave_controller_x_inst.phase_acc\[7\],140.76µm
_02727_,140.61µm
net550,140.35µm
net511,140.3µm
net531,140.3µm
wave_controller_y_inst.phase_acc\[4\],140.2µm
_02875_,140.15µm
_01116_,140.05µm
signal_processor_x_inst.votes_in_phase\[2\],140.05µm
_02973_,139.88µm
_02718_,139.59µm
_01901_,139.49µm
_02013_,139.03µm
_04178_,138.98µm
net244,138.98µm
clknet_leaf_15_clk,138.98µm
net319,138.93µm
net277,138.89µm
_02982_,138.65µm
_00632_,138.47µm
wave_controller_y_inst.phase_acc\[6\],138.47µm
_01886_,138.42µm
net200,138.42µm
net257,138.42µm
net562,138.01µm
net318,137.86µm
_01859_,137.4µm
cfg_phase270_offset_x\[0\],137.25µm
cfg_done,136.89µm
net256,136.84µm
net636,136.84µm
net331,136.69µm
net569,136.69µm
wave_controller_y_inst.phase_acc\[13\],136.64µm
_01764_,136.28µm
net269,136.23µm
_00630_,136.18µm
net537,136.18µm
_01862_,136.08µm
clknet_leaf_55_clk,135.92µm
net565,135.72µm
net159,135.67µm
wave_controller_y_inst.phase_acc\[12\],135.06µm
net218,135.01µm
_04651_,134.96µm
_00633_,134.7µm
_00582_,134.6µm
net191,134.5µm
net220,134.5µm
clknet_leaf_1_clk,134.24µm
_01358_,133.99µm
_04626_,133.89µm
cfg_phase90_offset_x\[1\],133.89µm
wave_controller_x_inst.wave_cycle_cnt\[7\],133.48µm
net591,133.48µm
net549,132.97µm
net321,132.92µm
net599,132.92µm
clknet_leaf_40_clk,132.92µm
_02929_,132.87µm
_03081_,132.82µm
_01747_,132.77µm
spi_regs_inst.sclk_sync\[1\],132.77µm
cal_dir_y,132.26µm
_01357_,131.85µm
clknet_leaf_52_clk,131.8µm
cfg_phase270_offset_y\[20\],131.75µm
wave_controller_y_inst.phase_acc\[0\],131.75µm
net157,131.7µm
net168,131.7µm
net175,131.7µm
_04617_,131.6µm
_04011_,131.24µm
net210,131.19µm
cfg_f_MEMS_fcw_x\[7\],131.09µm
_03069_,130.53µm
_01853_,130.07µm
_02470_,129.92µm
_03174_,129.46µm
cfg_phase90_offset_x\[12\],129.41µm
_00634_,128.95µm
_02268_,128.9µm
net205,128.34µm
net224,128.34µm
net246,128.29µm
net249,128.29µm
net590,127.88µm
net267,127.78µm
_01763_,127.27µm
net217,127.22µm
net561,127.22µm
clknet_leaf_58_clk,127.17µm
net339,126.96µm
net377,126.71µm
net166,126.61µm
net207,126.2µm
net280,126.05µm
net532,125.69µm
_00631_,125.59µm
_01820_,125.59µm
net254,125.59µm
_00589_,125.03µm
net203,124.98µm
net243,124.98µm
net89,124.93µm
wave_controller_x_inst.phase_acc\[9\],124.67µm
net494,124.57µm
net615,124.47µm
_01760_,124.42µm
net312,124.37µm
wave_controller_y_inst.phase_acc\[10\],124.19µm
net603,124.06µm
