net,length_um
cfg_phase90_offset_y\[14\],186.68µm
raw_edge1_y\[1\],186.12µm
signal_processor_y_inst/net199,186.07µm
spi_regs_inst/_0248_,186.01µm
cal_phase270_offset_y\[7\],185.97µm
spi_regs_inst/_0615_,185.68µm
cfg_phase90_offset_y\[8\],185.56µm
cfg_phase90_offset_x\[0\],185.51µm
clknet_leaf_27_clk,185.25µm
cfg_f_MEMS_fcw_x\[5\],184.95µm
cfg_phase270_offset_y\[1\],184.44µm
raw_edge3_y\[6\],184.44µm
cfg_f_MEMS_fcw_x\[8\],184.03µm
wave_controller_x_inst/_1243_,183.98µm
cfg_phase0_offset_y\[14\],183.83µm
cal_phase270_offset_x\[5\],183.73µm
cal_phase270_offset_y\[2\],183.52µm
wave_controller_x_inst/_1244_,183.42µm
spi_regs_inst/net574,183.37µm
cfg_phase0_offset_x\[10\],183.32µm
raw_edge3_x\[15\],183.32µm
cfg_phase0_offset_y\[18\],183.22µm
clknet_leaf_41_clk,182.81µm
cfg_phase0_offset_x\[3\],182.66µm
spi_regs_inst/net283,182.61µm
clknet_leaf_36_clk,182.2µm
wave_controller_y_inst/_1226_,181.74µm
wave_controller_y_inst/net366,181.74µm
spi_regs_inst/net100,181.68µm
net615,181.59µm
cfg_phase0_offset_y\[19\],181.49µm
cfg_phase90_offset_y\[20\],181.13µm
wave_controller_y_inst/phase_acc\[11\],181.13µm
spi_regs_inst/net174,181.13µm
cfg_phase270_offset_y\[5\],180.98µm
wave_controller_x_inst/net332,180.98µm
raw_edge3_y\[17\],180.93µm
cal_phase0_offset_y\[0\],180.8µm
wave_controller_x_inst/_1390_,180.32µm
spi_regs_inst/_0608_,179.96µm
wave_controller_x_inst/net606,179.91µm
spi_regs_inst/net175,179.86µm
clknet_leaf_43_clk,179.5µm
wave_controller_x_inst/phase_acc\[18\],179.45µm
spi_regs_inst/net610,179.45µm
raw_edge1_x\[20\],179.4µm
cal_phase0_offset_y\[6\],179.36µm
wave_controller_x_inst/_1248_,179.35µm
cal_phase270_offset_y\[14\],179.3µm
raw_edge3_y\[18\],179.25µm
net519,179.25µm
wave_controller_x_inst/phase_acc\[5\],178.94µm
raw_edge3_x\[14\],178.38µm
wave_controller_y_inst/_1245_,178.28µm
wave_controller_y_inst/phase_acc\[2\],178.23µm
net504,178.13µm
